year,annual_max_flow
1,218.0717737760166
2,144.177967974487
3,97.3680349857873
4,53.13985929698741
5,101.68497476213193
6,153.67555138791815
7,70.27561353211667
8,295.15680181678505
9,150.4640569862792
10,90.62823669038669
11,97.56834701505693
12,166.5326345787214
13,122.61662792084425
14,235.64835178622246
15,87.79794756419615
16,269.3772979416995
17,79.29119795965518
18,202.28585107560852
19,154.31652616442827
20,151.86879743608282
21,107.52103461553904
22,132.13985676578972
23,106.77874827401742
24,207.94100642593244
25,88.95194582437685
26,109.49137874550135
27,686.7802535423714
28,140.25240124511453
29,121.10353410088646
30,133.46170444112863
31,141.70314985474036
32,70.2410820888889
33,158.69529845689573
34,121.35318886353431
35,160.52360133821372
36,91.05072082101623
37,186.01455020010104
38,126.18297313803221
39,65.45244623279886
40,269.6277909055459
41,95.94832626101795
42,82.37652519455989
43,47.26250072044082
44,129.38411329933066
45,447.47132173405817
46,64.84619482232725
47,181.03352329883222
48,259.7891080731433
49,123.45906026534746
50,109.28005673038896
